"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 12 18:09:52 CEST 2023","Tue Sep 12 18:09:57 CEST 2023","5708","chromium","TF_001_Login.spec.ts","Erfolgreicher Standard Login","","","Login Test",""
"passed","Tue Sep 12 18:09:52 CEST 2023","Tue Sep 12 18:09:57 CEST 2023","5055","firefox","TF_001_Login.spec.ts","Erfolgreicher Standard Login","","","Login Test",""
